,Name_submitted,Accepted_name,Habit,NativeStatus,n_nurseries,StatesSold,NativeRange,StatesRegulated,P_conventional,P_native,Rank
35,Asclepias tuberosa,Asclepias tuberosa,Forb/herb,EFNative,134,"MA, KY, VA, VT, PA, OH, NY, MD, NH, RI, CT, NJ, DE, ME, WV","CO, IL, IA, KS, MN, MO, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.31640625,0.638554217,35
36,Solidago nemoralis,Solidago nemoralis,Forb/herb,EFNative,37,"MA, PA, RI, MD, NJ, VA, CT, ME, NH","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN",NA,0.03125,0.34939759,36
37,Ceanothus americanus,Ceanothus americanus,Shrub,EFNative,70,"MA, MD, NH, NJ, PA, RI, CT, OH, VA, ME, DE, VT, NY","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.12890625,0.445783133,37
38,Allium cernuum,Allium cernuum,Forb/herb,EFNative,62,"MA, PA, MD, NH, RI, NJ, VA, CT, DE, OH, VT, ME, WV","CO, ID, MT, OR, WA, WY, IL, IA, MN, MO, NE, SD, WI, IN, MI, NY, OH, PA, WV, AZ, UT, NM, TX, AL, AR, GA, KY, MD, NC, SC, TN, VA",NA,0.10546875,0.421686747,38
39,Prunus serotina,Prunus serotina,Shrub,EFNative,46,"MD, MA, NJ, PA, VA, CT, DE, OH, ME, RI","CO, WA, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.05859375,0.373493976,39
40,Fragaria virginiana,Fragaria virginiana,Forb/herb,EFNative,38,"MA, PA, MD, VA, CT, OH, ME, VT, NH, RI, NJ","AK, CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03515625,0.34939759,40
41,Hypericum prolificum,Hypericum prolificum,Shrub,EFNative,30,"MD, NH, PA, VA, CT, NJ, MA, VT","IL, IA, MN, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.01171875,0.325301205,41
42,Eutrochium fistulosum,Eutrochium fistulosum,Forb/herb,EFNative,26,"PA, NJ, MD, VA, ME, CT, MA, NH, RI","IL, MO, OK, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.313253012,42
43,Asimina triloba,Asimina triloba,Shrub,EFNative,93,"OH, MD, KY, NY, NJ, PA, MA, RI, CT, VA, ME, DE, WV, NH, VT","IL, IA, KS, MO, NE, OK, WI, IN, MI, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.19921875,0.506024096,43
44,Penstemon hirsutus,Penstemon hirsutus,Forb/herb,EFNative,40,"ME, MA, NH, RI, MD, PA, VA, CT, DE, OH, NJ, VT","IL, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, RI, VT, WV, DE, KY, MD, TN, VA",NA,0.04296875,0.34939759,44
