"","Name_submitted","Accepted_name","Accepted.Symbol","Range_Size","Precip","pH","Status"
"266","Thelypodium texanum","Thelypodium texanum","THTE4",26000927309,287.5700073,1.019999504,"native"
"267","Tidestromia carnosa","Tidestromia carnosa","TICA2",26000927309,287.5700073,1.019999504,"native"
"268","Vauquelinia corymbosa","Vauquelinia corymbosa","VACO4",26000927309,287.5700073,1.019999504,"native"
"269","Vachellia schottii","Vachellia schottii","VASC5",26000927309,287.5700073,1.019999504,"native"
"270","Packera cardamine","Packera cardamine","PACA34",32963686244,882.1299438,4.099999428,"native"
"271","Pteryxia davidsonii","Cymopterus davidsonii","PTDA",32963686244,882.1299438,4.099999428,"native"
"272","Galium collomiae","Galium collomiae","GACO",33362949098,697.0199738,4.489999771,"native"
"273","Astragalus kerrii","Astragalus kerrii","ASKE5",12512530061,730.0100098,2.940000057,"native"
"274","Heuchera woodsiaphila","Heuchera woodsiaphila","HEWO2",12512530061,730.0100098,2.940000057,"native"
"275","Ionactis elegans","Ionactis elegans","IOEL",12512530061,730.0100098,2.940000057,"native"
"276","Lesquerella lata","Physaria lata","LELA9",12512530061,730.0100098,2.940000057,"native"
"277","Hunzikeria texana","Hunzikeria texana","HUTE2",17152649027,348.1699829,0.46999979,"native"
"278","Cirsium vinaceum","Cirsium vinaceum","CIVI4",29638986832,758.1800079,4.639999866,"native"
"279","Delphinium novomexicanum","Delphinium novomexicanum","DENO",29638986832,758.1800079,4.639999866,"native"
"280","Lesquerella aurea","Physaria aurea","LEAU5",29638986832,758.1800079,4.639999866,"native"
"281","Lupinus sierrae-blancae","Lupinus sierrae-blancae","LUSI2",29638986832,758.1800079,4.639999866,"native"
"282","Penstemon neomexicanus","Penstemon neomexicanus","PENE6",29638986832,758.1800079,4.639999866,"native"
"283","Philadelphus wootonii","Philadelphus microphyllus var. argyrocalyx","PHWO",29638986832,758.1800079,4.639999866,"native"
"284","Potentilla sierrae-blancae","Potentilla sierrae-blancae","POSI4",29638986832,758.1800079,4.639999866,"native"
"285","Anulocaulis reflexus","Anulocaulis reflexus","ANRE3",15850229668,406.4999695,2.229999542,"native"
"286","Solanum leptosepalum","Solanum stoloniferum","SOLE4",15850229668,406.4999695,2.229999542,"native"
"287","Lupinus hillii","Lupinus hillii","LUHI2",1.94e+11,1032.27005,7.2299999,"native"
"288","Helianthus arizonensis","Helianthus arizonensis","HEAR8",1.76e+11,1049.670052,7.179999709,"native"
"289","Clematis bigelovii","Clematis bigelovii","CLBI2",1.41e+11,1032.27005,7.179999709,"native"
"290","Hymenoxys rusbyi","Hymenoxys rusbyi","HYRU",1.44e+11,1013.939949,7.139999747,"native"
"291","Astragalus altus","Astragalus altus","ASAL8",17126456771,758.1800079,4.639999866,"native"
"292","Microthelys rubrocallosa","Microthelys rubrocallosa","MIRU6",17126456771,758.1800079,4.639999866,"native"
"293","Phacelia cloudcroftensis","Phacelia cloudcroftensis","PHCL4",17126456771,758.1800079,4.639999866,"native"
"294","Mimulus pulchellus","Diplacus pulchellus","MIPU",12146380721,1392.059998,3.779999971,"native"
"295","Phacelia cliffordii","Phacelia cliffordii","PHCL3",25770094216,614.3799744,7.179999709,"native"
"296","Eriogonum pulchrum","Eriogonum pulchrum","ERPU21",1.59e+11,1049.670052,7.179999709,"native"
"297","Arenaria ludens","Arenaria ludens","ARLU2",31754481659,414.0499725,2.229999542,"native"
"298","Prunus murrayana","Prunus murrayana","PRMU2",31754481659,414.0499725,2.229999542,"native"
"299","Packera insulae-regalis","Packera insulae-regalis","PAIN4",1398883257,85.03997803,1.21999979,"native"
"300","Pomaria brachycarpa","Pomaria brachycarpa","POBR21",23284431183,398.190033,1.300000191,"native"
"301","Penstemon nudiflorus","Penstemon nudiflorus","PENU",1.42e+11,977.6300125,7.179999709,"native"
"302","Mancoa pubens","Halimolobos pubens","MAPU2",41739539097,414.0499725,2.229999542,"native"
"303","Arenaria aberrans","Eremogone aberrans","ARAB",1.16e+11,977.6300125,6.910000205,"native"
"304","Platanthera brevifolia","Platanthera brevifolia","PLBR3",50727663298,798.3600159,5.21999979,"native"
"305","Pediomelum verdiense","Pediomelum verdiense","PEVE10",21039796371,539.7299957,4.329999924,"native"
"306","Tetraneuris verdiensis","Tetraneuris verdiensis","TEVE3",21039796371,539.7299957,4.329999924,"native"
"307","Arabis gracilipes","Boechera perennans subsp. gracilipes","ARGR4",1.37e+11,996.6000061,7.259999633,"native"
"308","Eriogonum jonesii","Eriogonum jonesii","ERJO",1.08e+11,977.6300125,7.179999709,"native"
"309","Pediocactus peeblesianus","Pediocactus peeblesianus","PEPE8",1.08e+11,977.6300125,7.179999709,"native"
"310","Brodiaea pallida","Brodiaea pallida","BRPA2",8393908572,1341.980011,3.75999999,"native"
"311","Ceanothus connivens","Ceanothus connivens","CECO2",8393908572,1341.980011,3.75999999,"native"
"312","Navarretia paradoxiclara","Navarretia paradoxiclara","NAPA4",8393908572,1341.980011,3.75999999,"native"
"313","Astragalus titanophilus","Astragalus titanophilus","ASTI2",1.04e+11,977.6300125,6.910000205,"native"
"314","Hedeoma diffusa","Hedeoma diffusa","HEDI",1.04e+11,977.6300125,6.910000205,"native"
"315","Festuca ligulata","Festuca ligulata","FELI",25889309429,380.8199921,1.079999447,"native"
"316","Linum schiedeanum","Linum schiedeanum","LISC5",25889309429,380.8199921,1.079999447,"native"
"317","Camissonia gouldii","Eremothera gouldii","CAGO",54509180151,953.6300049,6.910000205,"native"
"318","Camissonia specuicola","Chylismia specicola","CASP13",82697647053,977.6300125,6.910000205,"native"
"319","Flaveria macdougalii","Flaveria mcdougallii","FLMA",82697647053,977.6300125,6.910000205,"native"
"320","Hesperodoria salicina","Lorandersonia salicina","HESA13",82697647053,977.6300125,6.910000205,"native"
"321","Mentzelia hualapaiensis","Mentzelia hualapaiensis","MEHU7",82697647053,977.6300125,6.910000205,"native"
"322","Panicum mohavense","Panicum mohavense","PAMO17",82697647053,977.6300125,6.910000205,"native"
"323","Phacelia glechomifolia","Phacelia glechomifolia","PHGL13",82697647053,977.6300125,6.910000205,"native"
"324","Ribes mescalerium","Ribes mescalerium","RIME2",55362656058,758.1800079,4.669999599,"native"
"325","Senecio arizonicus","Senecio arizonicus","SEAR3",1.07e+11,977.6300125,6.910000205,"native"
"326","Perityle congesta","Perityle congesta","PECO18",1.03e+11,996.6000061,7.259999633,"native"
"327","Camissonia exilis","Chylismia exilis","CAEX10",93031559631,977.6300125,7.460000396,"native"
"328","Woodsia cochisensis","Woodsia cochisensis","WOCO2",57127782808,953.6300049,7.259999633,"native"
"329","Euphorbia bifurcata","Euphorbia bifurcata","EUBI3",39192008104,798.3600159,3.009999752,"native"
"330","Astragalus striatiflorus","Astragalus striatiflorus","ASST6",64843092729,953.6300049,7.460000396,"native"
"331","Acleisanthes acutifolia","Acleisanthes acutifolia","ACAC",9985057438,242.4700012,1.019999504,"native"
"332","Anisacanthus puberulus","Anisacanthus puberulus","ANPU6",9985057438,242.4700012,1.019999504,"native"
"333","Aristida gypsophila","Aristida gypsophila","ARGY4",9985057438,242.4700012,1.019999504,"native"
"334","Eysenhardtia spinosa","Eysenhardtia spinosa","EYSP",9985057438,242.4700012,1.019999504,"native"
"335","Grindelia oxylepis","Grindelia oxylepis","GROX",9985057438,242.4700012,1.019999504,"native"
"336","Nama undulatum","Nama undulata","NAUN",9985057438,242.4700012,1.019999504,"native"
"337","Thelypodium tenue","Thelypodium tenue","THTE3",9985057438,242.4700012,1.019999504,"native"
"338","Tradescantia crassifolia","Tradescantia crassifolia","TRCR13",9985057438,242.4700012,1.019999504,"native"
"339","Zapoteca media","Zapoteca media","ZAME2",9985057438,242.4700012,1.019999504,"native"
"340","Bothriochloa edwardsiana","Bothriochloa edwardsiana","BOED",12108536370,356.2300415,0.75,"native"
"341","Sclerocactus sileri","Sclerocactus sileri","SCSI3",85282374185,996.6000061,7.460000396,"native"
"342","Erigeron rybius","Erigeron rybius","ERRY2",39512426390,758.1800079,4.669999599,"native"
"343","Lesquerella gooddingii","Physaria gooddingii","LEGO2",33533506528,931.7899475,4.099999428,"native"
"344","Angelica scabrida","Angelica scabrida","ANSC9",20439281456,624.0500183,4.209999561,"native"
"345","Antennaria soliceps","Antennaria soliceps","ANSO2",20439281456,624.0500183,4.209999561,"native"
"346","Astragalus aequalis","Astragalus aequalis","ASAE",20439281456,624.0500183,4.209999561,"native"
"347","Astragalus remotus","Astragalus remotus","ASRE4",20439281456,624.0500183,4.209999561,"native"
"348","Cirsium clokeyi","Cirsium clokeyi","CICL2",20439281456,624.0500183,4.209999561,"native"
