"","Name_submitted","Accepted_name","Family","Order","HybProp","Hyb_Ratio","perc_per","perc_wood","perc_ag","floral_symm","mating_system","repro_syndrome","pollination_syndrome","RedList","tavg","C_value","CV_C_value"
"389","Chrysocoma","Chrysocoma","Asteraceae","Asterales",0,0,"1","1",0.00210989,".",".",".",".",".",".",".","."
"390","Chrysolepis","Chrysolepis","Fagaceae","Fagales",0,0,"1","1",0.001492537,".",".",".",".",".",".",".","."
"391","Chrysopsis","Chrysopsis","Asteraceae","Asterales",0,0,"0.875","0",0.00210989,".",".",".",".",".",".",".","."
"392","Chrysosplenium","Chrysosplenium","Saxifragaceae","Saxifragales",0,0,"1","0",0,".","1","0.5","1",".",".",".","."
"393","Chrysothamnus","Chrysothamnus","Asteraceae","Asterales",0.925925926,0.125,"1","0.964285714",0.00210989,".",".",".",".",".",".",".","."
"394","Cicendia","Cicendia","Gentianaceae","Gentianales",0,0,"0","0",0,".","1","1","1",".",".",".","."
"395","Cicer","Cicer","Fabaceae","Fabales",0,0,"0.75","0",0.096494845,".",".",".",".",".",".","1.411333333","14.68291407"
"396","Cicerbita","Cicerbita","Asteraceae","Asterales",0,0,"1","0",0.00210989,".",".",".",".",".",".",".","."
"397","Cichorium","Cichorium","Asteraceae","Asterales",0,0,"0.714285714","0",0.00210989,".","1","1","1",".",".",".","."
"398","Cicuta","Cicuta","Apiaceae","Apiales",0,0,"0.833333333","0",0.003968254,".","1","0.5","1",".",".",".","."
"399","Cinna","Cinna","Poaceae","Poales",0,0,"1","0",0.074314214,".",".",".",".",".",".",".","."
"400","Cinnamomum","Cinnamomum","Lauraceae","Laurales",0,0,"1","1",4e-04,".",".",".","1","2.477272727",".","0.6","."
"401","Circaea","Circaea","Onagraceae","Myrtales",20,0.5,"1","0",0.001538462,".","1","0.333333333","1",".",".",".","."
"402","Cirsium","Cirsium","Asteraceae","Asterales",0.245630609,0.178082192,"0.57615894","0",0.00210989,".","1","0.666666667","1",".",".","1.463684211","31.65784155"
"403","Cistanche","Cistanche","Orobanchaceae","Lamiales",0,0,"1","0",0,"1",".",".",".",".",".","9.435","0"
"404","Cistus","Cistus","Cistaceae","Malvales",15.78947368,1.421052632,"1","1",0.011428571,".",".",".","1",".",".","2.327058824","17.25777595"
"405","Citrullus","Citrullus","Cucurbitaceae","Cucurbitales",4.761904762,0.142857143,"0.285714286","0",0.024852071,"0",".",".",".",".",".","0.45","."
"406","Citrus","Citrus","Rutaceae","Sapindales",0,0,"1","1",0.001652893,".",".",".","1","4",".","0.454137931","14.961553"
"407","Cladanthus","Cladanthus","Asteraceae","Asterales",0,0,"0","0",0.00210989,".",".",".",".",".",".","3.8","."
"408","Cladium","Cladium","Cyperaceae","Poales",0,0,"1","0",0.00045977,".","1","0","0",".",".",".","."
