"","Name_submitted","Accepted_name","Group","Order","Family","Genus","Orignal_Name","Seed_Dispersal_Category","Seed_Dispersal_Orignal_Discription","Seed_Dispersal_Data_Source"
"10979","Crepis setosa","Crepis setosa","Superasteridae","Asterales","Asteraceae","Crepis","Crepis setosa","Zoochory","dysochor","The LEDA Traitbase"
"10980","Crepis sibirica","Crepis sibirica","Superasteridae","Asterales","Asteraceae","Crepis","Crepis sibirica","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10981","Crepis sibthorpiana","Crepis sibthorpiana","Superasteridae","Asterales","Asteraceae","Crepis","Crepis sibthorpiana","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"10982","Crepis smyrnaea","Crepis smyrnaea","Superasteridae","Asterales","Asteraceae","Crepis","Crepis smyrnaea","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10983","Crepis sonchifolia","Crepis sonchifolia","Superasteridae","Asterales","Asteraceae","Crepis","Crepis sonchifolia","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"10984","Crepis sprengeriana","Picris rhagadioloides","Superasteridae","Asterales","Asteraceae","Crepis","Picris sprengerana","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10985","Crepis stojanovii","Crepis stojanovii","Superasteridae","Asterales","Asteraceae","Crepis","Crepis stojanovii","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10986","Crepis suffreniana","Crepis suffreniana","Superasteridae","Asterales","Asteraceae","Crepis","Crepis suffreniana","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10987","Crepis tectorum","Crepis tectorum","Superasteridae","Asterales","Asteraceae","Crepis","Crepis tectorum","Zoochory","epizoochor","BIOPOP: Functional Traits for Nature Conservation"
"10988","Crepis terglouensis","Crepis terglouensis","Superasteridae","Asterales","Asteraceae","Crepis","Crepis terglouensis","Zoochory","dysochor","BIOPOP: Functional Traits for Nature Conservation"
"10989","Crepis tingitana","Crepis tingitana","Superasteridae","Asterales","Asteraceae","Crepis","Crepis tingitana","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10990","Crepis triasii","Crepis triasii","Superasteridae","Asterales","Asteraceae","Crepis","Crepis triasii","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"10991","Crepis turcica","Crepis turcica","Superasteridae","Asterales","Asteraceae","Crepis","Crepis turcica","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10992","Crepis tybakiensis","Crepis tybakiensis","Superasteridae","Asterales","Asteraceae","Crepis","Crepis tybakiensis","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"10993","Crepis vesicaria","Crepis vesicaria","Superasteridae","Asterales","Asteraceae","Crepis","Crepis vesicaria","Zoochory","dysochor","The LEDA Traitbase"
"10994","Crepis viscidula","Crepis viscidula","Superasteridae","Asterales","Asteraceae","Crepis","Crepis viscidula","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10995","Crepis zacintha","Crepis zacintha","Superasteridae","Asterales","Asteraceae","Crepis","Crepis zacintha","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"10996","Critonia megaphylla","Critonia megaphylla","Superasteridae","Asterales","Asteraceae","Critonia","Critonia megaphylla","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"10997","Critonia morifolia","Critonia morifolia","Superasteridae","Asterales","Asteraceae","Critonia","Critonia morifolia","Anemochory","Wind","KEW Seed Information Database (SID)"
"10998","Critoniopsis foliosa","Eremosis foliosa","Superasteridae","Asterales","Asteraceae","Critoniopsis","Eremosis steetzii","Anemochory","Wind","KEW Seed Information Database (SID)"
"10999","Crupina crupinastrum","Crupina crupinastrum","Superasteridae","Asterales","Asteraceae","Crupina","Crupina crupinastrum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11000","Crupina vulgaris","Crupina vulgaris","Superasteridae","Asterales","Asteraceae","Crupina","Crupina vulgaris","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11001","Cullumia squarrosa","Cullumia squarrosa","Superasteridae","Asterales","Asteraceae","Cullumia","Goeppertia squarrosa","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"11002","Cyanthillium cinereum","Cyanthillium cinereum","Superasteridae","Asterales","Asteraceae","Cyanthillium","Vernonia cinerea","Anemochory","anemochory","AusTraits, a curated plant trait database for the Australian flora"
"11003","Centaurea achtarovii","Centaurea achtarovii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus achtarovii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11004","Centaurea acmophylla","Centaurea acmophylla","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus acmophyllus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11005","Cyanus adscendens","Centaurea adscendens","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus adscendens","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11006","Centaurea albofimbriata","Centaurea albofimbriata","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus albofimbriatus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11007","Centaurea angelescui","Centaurea angelescui","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus angelescui","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11008","Centaurea huetii","Centaurea huetii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus atratus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11009","Centaurea baldaccii","Centaurea baldaccii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus baldaccii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11010","Centaurea bourgaei","Centaurea bourgaei","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus bourgaei","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11011","Centaurea cheiranthifolia","Centaurea cheiranthifolia","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus cheiranthifolius","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11012","Centaurea depressa","Centaurea depressa","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus depressus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11013","Centaurea dominii","Centaurea dominii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus dominii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11014","Centaurea epirota","Centaurea epirota","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus epirotus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11015","Centaurea fuscomarginata","Centaurea fuscomarginata","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus fuscomarginatus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11016","Centaurea lugdunensis","Centaurea lugdunensis","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus lugdunensis","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11017","Centaurea matthiolifolia","Centaurea matthiolifolia","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus matthiolifolius","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11018","Centaurea mollis","Centaurea mollis","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus mollis","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11019","Centaurea montana","Centaurea montana","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus montanus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11020","Centaurea napulifera","Centaurea napulifera","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus napulifer","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11021","Cyanus nigrofimbrius","Centaurea nigrofimbria","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus nigrifimbrius","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11022","Centaurea nissana","Centaurea nissana","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus nissanus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11023","Centaurea novakii","Centaurea novakii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus novakii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11024","Centaurea orbelica","Centaurea orbelica","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus orbelicus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11025","Centaurea pichleri","Centaurea pichleri","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus pichleri","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11026","Centaurea pinardi","Centaurea pinardi","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus pinardii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11027","Cyanus pindicola","Centaurea pindicola","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus pindicola","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11028","Centaurea pinnatifida","Centaurea pinnatifida","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus pinnatifidus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11029","Centaurea pseudoaxillaris","Centaurea pseudoaxillaris","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus pseudaxillaris","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11030","Centaurea reuteriana","Centaurea reuteriana","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus reuterianus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11031","Centaurea cyanus","Centaurea cyanus","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus segetum","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11032","Centaurea semidecurrens","Centaurea semidecurrens","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus semidecurrens","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11033","Centaurea tanaitica","Centaurea tanaitica","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus tanaiticus","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11034","Centaurea thirkei","Centaurea thirkei","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus thirkei","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11035","Cyanus triumfettii","Centaurea triumfettii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus triumfettii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11036","Centaurea woronowii","Centaurea woronowii","Superasteridae","Asterales","Asteraceae","Cyanus","Cyanus woronowii","Zoochory","Myrmecochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11037","Cymbonotus maidenii","Cymbonotus maidenii","Superasteridae","Asterales","Asteraceae","Cymbonotus","Cymbonotus maidenii","Zoochory","zoochory","AusTraits, a curated plant trait database for the Australian flora"
"11038","Cymbonotus preissianus","Cymbonotus preissianus","Superasteridae","Asterales","Asteraceae","Cymbonotus","Cymbonotus lawsonianus","Zoochory","zoochory","AusTraits, a curated plant trait database for the Australian flora"
"11039","Cynara algarbiensis","Cynara algarbiensis","Superasteridae","Asterales","Asteraceae","Cynara","Cynara algarbiensis","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11040","Cynara baetica","Cynara baetica","Superasteridae","Asterales","Asteraceae","Cynara","Cynara alba","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11041","Cynara cardunculus","Cynara cardunculus","Superasteridae","Asterales","Asteraceae","Cynara","Cynara cardunculus","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11042","Cynara cornigera","Cynara cornigera","Superasteridae","Asterales","Asteraceae","Cynara","Cynara cornigera","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11043","Cynara cyrenaica","Cynara cyrenaica","Superasteridae","Asterales","Asteraceae","Cynara","Cynara cyrenaica","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11044","Cynara humilis","Cynara humilis","Superasteridae","Asterales","Asteraceae","Cynara","Cynara humilis","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11045","Cynara scolymus","Cynara cardunculus subsp. cardunculus","Superasteridae","Asterales","Asteraceae","Cynara","Cynara scolymus","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11046","Cynara tournefortii","Cynara tournefortii","Superasteridae","Asterales","Asteraceae","Cynara","Cynara tournefortii","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11047","Cyrtocymura harleyi","Cyrtocymura harleyi","Superasteridae","Asterales","Asteraceae","Cyrtocymura","Cyrtocymura harleyi","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11048","Cyrtocymura lanuginosa","Cyrtocymura lanuginosa","Superasteridae","Asterales","Asteraceae","Cyrtocymura","Cyrtocymura lanuginosa","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11049","Cyrtocymura scorpioides","Cyrtocymura scorpioides","Superasteridae","Asterales","Asteraceae","Cyrtocymura","Cyrtocymura scorpioides","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11050","Dahlia coccinea","Dahlia coccinea","Superasteridae","Asterales","Asteraceae","Dahlia","Dahlia coccinea","Autochory","Unassisted","KEW Seed Information Database (SID)"
"11051","Dasycondylus platylepis","Dasycondylus platylepis","Superasteridae","Asterales","Asteraceae","Dasycondylus","Dasycondylus platylepis","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11052","Dasycondylus riedelii","Dasycondylus riedelii","Superasteridae","Asterales","Asteraceae","Dasycondylus","Dasycondylus riedelii","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11053","Dasyphyllum brasiliense","Dasyphyllum brasiliense","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum retinens","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11054","Dasyphyllum diacanthoides","Dasyphyllum diacanthoides","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum diacanthoides","Anemochory","Anemochory","VirtualForests Trait Database"
"11055","Dasyphyllum donianum","Dasyphyllum donianum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum donianum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11056","Dasyphyllum flagellare","Dasyphyllum flagellare","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum flagellare","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11057","Dasyphyllum floribundum","Dasyphyllum floribundum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum floribundum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11058","Dasyphyllum fodinarum","Dasyphyllum fodinarum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum fodinarum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11059","Dasyphyllum lanceolatum","Dasyphyllum lanceolatum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum lanceolatum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11060","Dasyphyllum reticulatum","Dasyphyllum reticulatum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum reticulatum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11061","Dasyphyllum spinescens","Dasyphyllum spinescens","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum spinescens","Anemochory","Wind","Traits and ecological strategies of 66 subtropical tree species in the Brazilian Atlantic Forest"
"11062","Dasyphyllum sprengelianum","Dasyphyllum sprengelianum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum sprengelianum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11063","Dasyphyllum trichophyllum","Dasyphyllum trichophyllum","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum trichophyllum","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11064","Dasyphyllum vagans","Dasyphyllum vagans","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum vagans","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11065","Dasyphyllum varians","Dasyphyllum varians","Superasteridae","Asterales","Asteraceae","Dasyphyllum","Dasyphyllum varians","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11066","Decachaeta ovatifolia","Decachaeta ovatifolia","Superasteridae","Asterales","Asteraceae","Decachaeta","Decachaeta ovatifolia","Anemochory","Wind","KEW Seed Information Database (SID)"
"11067","Delairea odorata","Delairea odorata","Superasteridae","Asterales","Asteraceae","Delairea","Delairea odorata","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11068","Chrysanthemum lavandulifolium","Chrysanthemum lavandulifolium","Superasteridae","Asterales","Asteraceae","Dendranthema","Dendranthema levandulifolium","Autochory","Auto","Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau"
"11069","Dichromochlamys dentatifolia","Dichromochlamys dentatifolia","Superasteridae","Asterales","Asteraceae","Dichromochlamys","Dichromochlamys dentatifolia","Anemochory","anemochory","AusTraits, a curated plant trait database for the Australian flora"
"11070","Dicoma tomentosa","Dicoma tomentosa","Superasteridae","Asterales","Asteraceae","Dicoma","Dicoma tomentosa","Anemochory","Wind","KEW Seed Information Database (SID)"
"11071","Didelta carnosa","Didelta carnosa","Superasteridae","Asterales","Asteraceae","Didelta","Didelta carnosa var. carnosa","Anemochory","Also dispersed by wind.","KEW Seed Information Database (SID)"
"11072","Dimerostemma arnottii","Dimerostemma arnottii","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma arnottii","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11073","Dimerostemma bahiense","Dimerostemma bahiense","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma bahiense","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11074","Dimerostemma bishopii","Dimerostemma bishopii","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma bishopii","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11075","Dimerostemma brasilianum","Dimerostemma brasilianum","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma brasilianum","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11076","Dimerostemma episcopale","Dimerostemma episcopale","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma episcopale","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11077","Dimerostemma goyazense","Dimerostemma goyazense","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma goyazense","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11078","Dimerostemma grazielae","Dimerostemma grazielae","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma grazielae","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11079","Dimerostemma humboldtianum","Dimerostemma humboldtianum","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma humboldtianum","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11080","Dimerostemma lippioides","Dimerostemma lippioides","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma lippioides","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11081","Dimerostemma myrtifolium","Dimerostemma myrtifolium","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma myrtifolium","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11082","Dimerostemma oblongum","Dimerostemma oblongum","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma oblongum","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11083","Dimerostemma paneroi","Dimerostemma paneroi","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma paneroi","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11084","Dimerostemma pseudosilphioides","Dimerostemma pseudosilphioides","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma pseudosilphioides","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11085","Dimerostemma reitzii","Dimerostemma reitzii","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma reitzii","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11086","Dimerostemma retifolium","Dimerostemma retifolium","Superasteridae","Asterales","Asteraceae","Dimerostemma","Dimerostemma retifolium","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"11087","Dimorphocoma minutula","Dimorphocoma minutula","Superasteridae","Asterales","Asteraceae","Dimorphocoma","Dimorphocoma minutula","Anemochory","anemochory","AusTraits, a curated plant trait database for the Australian flora"
"11088","Osteospermum polypterum",NA,"Superasteridae","Asterales","Asteraceae","Dimorphotheca","Dimorphotheca polyptera","Anemochory","Wind","KEW Seed Information Database (SID)"
"11089","Dimorphotheca tragus","Dimorphotheca tragus","Superasteridae","Asterales","Asteraceae","Dimorphotheca","Dimorphotheca tragus","Anemochory","Wind","KEW Seed Information Database (SID)"
"11090","Disynaphia halimifolia","Disynaphia halimifolia","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia halimifolia","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11091","Disynaphia littoralis","Disynaphia littoralis","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia littoralis","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11092","Disynaphia minutiflora","Disynaphia minutiflora","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia minutiflora","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11093","Disynaphia multicrenulata","Disynaphia multicrenulata","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia multicrenulata","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11094","Disynaphia praeficta","Disynaphia praeficta","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia praeficta","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11095","Disynaphia senecionidea","Disynaphia senecionidea","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia senecionidea","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11096","Disynaphia spathulata","Disynaphia spathulata","Superasteridae","Asterales","Asteraceae","Disynaphia","Disynaphia spathulata","Anemochory","anemochor","Species able to reproduce after fire in a Brazilian Savanna"
"11097","Dittrichia graveolens","Dittrichia graveolens","Superasteridae","Asterales","Asteraceae","Dittrichia","Dittrichia graveolens","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11098","Dittrichia viscosa","Dittrichia viscosa","Superasteridae","Asterales","Asteraceae","Dittrichia","Dittrichia viscosa","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11099","Doronicum austriacum","Doronicum austriacum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum austriacum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11100","Doronicum cacaliifolium","Doronicum cacaliifolium","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum cacaliifolium","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11101","Doronicum carpaticum","Doronicum carpaticum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum carpaticum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11102","Doronicum carpetanum","Doronicum carpetanum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum carpetanum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11103","Doronicum cataractarum","Doronicum cataractarum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum cataractarum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11104","Doronicum clusii","Doronicum clusii","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum clusii","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11105","Doronicum corsicum","Doronicum corsicum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum corsicum","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11106","Doronicum gansuense","Doronicum gansuense","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum gansuense","Anemochory","Ane","Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau"
"11107","Doronicum glaciale","Doronicum glaciale","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum glaciale","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11108","Doronicum grandiflorum","Doronicum grandiflorum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum grandiflorum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11109","Doronicum hungaricum","Doronicum hungaricum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum hungaricum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11110","Doronicum macrophyllum","Doronicum macrophyllum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum macrophyllum","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11111","Doronicum oblongifolium","Doronicum oblongifolium","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum oblongifolium","Anemochory","Anemochory","Seed dispersal distance classes and dispersal modes for the European flora"
"11112","Doronicum orientale","Doronicum caucasicum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum orientale","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11113","Doronicum pardalianches","Doronicum pardalianches","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum pardalianches","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
"11114","Doronicum plantagineum","Doronicum plantagineum","Superasteridae","Asterales","Asteraceae","Doronicum","Doronicum plantagineum","Anemochory","Anemochorous","EuDiS - A comprehensive database of the seed dispersal syndromes of the European flora"
