"","Name_submitted","Accepted_name","Family","Order","Superorder","Group (Dicot, Monocot, Gymnosperm, Fern)","Sample reference code","Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)","Nearctic","Neotropic","Palearctic","Afrotropic","Indo-Malay","Australasia","Oceania","Number of Biogeographic Realms","Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Dry Broadleaf Forests","Tropical and Subtropical Coniferous Forests","Temperate Broadleaf and Mixed Forests","Temperate Coniferous Forests","Boreal Forests/Taiga","Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands","Flooded Grasslands and Savannas","Montane Grasslands and Shrublands","Tundra","Mediterranean Forests, Woodlands, and Scrub","Deserts and Xeric Shrublands","Mangroves","Number of Biomes","C (%)","S (%)","R (%)","CSR","Colour values for SigmaPlot","Growth habit (grey shade)","Growth habit (colour)","Growth habit (symbol)"
"2676","Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood","Sporobolus vaginiflorus","Poaceae","Poales","Lilianae","Monocot","Weiher","annual","graminoid",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,1.77893762011522,53.012915370134,45.2081470097508,"SR","@rgb(5,135,115)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2677","Sporobolus virginicus (L.) Kunth","Sporobolus virginicus","Poaceae","Poales","Lilianae","Monocot","Cerabolini","perennial","graminoid",1,1,0,1,1,1,1,6,1,0,0,1,0,0,1,1,1,0,0,1,1,1,8,12.3684744461843,67.4485633641031,20.1829621897126,"S/SR","@rgb(32,172,51)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2678","Stachys alopecuros (L.) Benth. alopecuros","Stachys alopecuros","Lamiaceae","Lamiales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,55.9607753899771,2.81463076448042,41.2245938455425,"CR","@rgb(143,7,105)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2679","Stachys officinalis (L.) Trevis.","Stachys officinalis","Lamiaceae","Lamiales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,30.5091239556577,20.7737344203138,48.7171416240286,"R/CSR","@rgb(78,53,124)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2680","Stachys recta L.","Stachys recta","Lamiaceae","Lamiales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,32.1402046803568,19.1177210751453,48.7420742444979,"R/CSR","@rgb(82,49,124)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2681","Stachys sylvatica L.","Stachys sylvatica","Lamiaceae","Lamiales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,6,44.1868899686956,0,55.8131100313043,"CR","@rgb(113,0,142)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2682","Stachys tenuifolia Willd.","Stachys tenuifolia","Lamiaceae","Lamiales","Asteranae","Dicot","Shipley","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,24.3879729150352,53.557282631557,22.0547444534078,"S/CSR","@rgb(62,137,56)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2683","Staphylea pinnata L.","Staphylea pinnata","Staphyleaceae","Crossosomatales","Rosanae","Dicot","Kleyer","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,53.38769885683,16.3212905621494,30.2910105810206,"C/CSR","@rgb(136,42,77)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2684","Stellaria graminea L.","Stellaria graminea","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Shipley","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6,14.4583672752864,12.4617379338442,73.0798947908694,"R/CR","@rgb(37,32,186)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2685","Stellaria media (L.) Vill. media","Stellaria media subsp. media","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,1,0,0,2,1,0,1,1,1,1,0,1,0,1,1,1,1,0,10,5.03016821050422,0,94.9698317894958,"R","@rgb(13,0,242)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
