"","Name_submitted","Accepted_name","Family","Order","Superorder","Group (Dicot, Monocot, Gymnosperm, Fern)","Sample reference code","Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)","Nearctic","Neotropic","Palearctic","Afrotropic","Indo-Malay","Australasia","Oceania","Number of Biogeographic Realms","Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Dry Broadleaf Forests","Tropical and Subtropical Coniferous Forests","Temperate Broadleaf and Mixed Forests","Temperate Coniferous Forests","Boreal Forests/Taiga","Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands","Flooded Grasslands and Savannas","Montane Grasslands and Shrublands","Tundra","Mediterranean Forests, Woodlands, and Scrub","Deserts and Xeric Shrublands","Mangroves","Number of Biomes","C (%)","S (%)","R (%)","CSR","Colour values for SigmaPlot","Growth habit (grey shade)","Growth habit (colour)","Growth habit (symbol)"
"282","Asperula cynanchica L.","Cynanchica pyrenaica subsp. cynanchica","Rubiaceae","Gentianales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,56.0796505314125,43.9203494685875,"SR","@rgb(0,143,112)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"283","Asperula tinctoria L.","Asperula tinctoria","Rubiaceae","Gentianales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3.34051489969715,45.8345449283134,50.8249401719895,"SR","@rgb(9,117,130)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"284","Aspidosperma discolor A. DC.","Aspidosperma discolor","Apocynaceae","Gentianales","Asteranae","Dicot","Pinho","perennial","tree",0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,48.194234152486,39.356326786778,12.4494390607361,"CS/CSR","@rgb(123,100,32)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"285","Asplenium ruta-muraria L.","Asplenium ruta-muraria","Aspleniaceae","Polypodiales",NA,"Fern","Cerabolini/Pierce","perennial","forb",1,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0,1,1,1,1,0,8,12.571889925578,54.6244153621445,32.8036947122775,"S/CSR","@rgb(32,139,84)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"286","Asplenium septentrionale (L.) Hoffm.","Asplenium septentrionale","Aspleniaceae","Polypodiales",NA,"Fern","Kleyer","perennial","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,23.3819988242511,23.5378489747804,53.0801522009685,"R/CSR","@rgb(60,60,135)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"287","Asplenium trichomanes L. quadrivalens D. E. Mey.","Asplenium trichomanes subsp. quadrivalens","Aspleniaceae","Polypodiales",NA,"Fern","Cerabolini","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,25.7493934449808,42.2808952121838,31.9697113428354,"CSR","@rgb(66,108,82)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"288","Asplenium viride Huds.","Asplenium viride","Aspleniaceae","Polypodiales",NA,"Fern","Cerabolini","perennial","forb",1,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0,1,1,1,0,0,7,29.7759212027096,8.85950162516048,61.36457717213,"R/CR","@rgb(76,23,156)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"289","Aster acuminatus Michx.","Oclemena acuminata","Asteraceae","Asterales","Asteranae","Dicot","Shipley","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.38605418763504,68.6251071059824,22.9888387063826,"S/SR","@rgb(21,175,59)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"290","Aster alpinus L.","Aster alpinus","Asteraceae","Asterales","Asteranae","Dicot","Soudzilovskaia","perennial","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,10.0610053518006,60.7886499048453,29.1503447433541,"S/SR","@rgb(26,155,74)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"291","Aster amellus L.","Aster amellus","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,25.9900036361764,43.897770190733,30.1122261730906,"S/CSR","@rgb(66,112,77)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"292","Aster bellidiastrum (L.) Scop.","Aster bellidiastrum","Asteraceae","Asterales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,42.2337328584847,0,57.7662671415153,"CR","@rgb(108,0,147)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"293","Aster dumosus L.","Symphyotrichum dumosum","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,6.15813175248997,90.9363906425383,2.90547760497179,"S","@rgb(16,232,7)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"294","Aster ericoides L.","Symphyotrichum ericoides","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,1,0,0,0,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,6,8.85199737138765,56.6705668197391,34.4774358088733,"SR","@rgb(23,145,88)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"295","Aster hemisphericus Alexander","Eurybia hemispherica","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8.84426956396567,83.4289996937439,7.72673074229046,"S","@rgb(23,213,20)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"296","Aster laevis L.","Symphyotrichum laeve","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,5,39.0672286995951,33.8477146282061,27.0850566721989,"CSR","@rgb(100,86,69)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"297","Aster lanceolatus Willd.","Symphyotrichum lanceolatum","Asteraceae","Asterales","Asteranae","Dicot","Shipley","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,5,10.9343743479064,64.4891937064617,24.5764319456319,"S/SR","@rgb(28,164,63)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"298","Aster linosyris Benth.","Galatella linosyris","Asteraceae","Asterales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,6.50655416640415,79.2288962710198,14.2645495625761,"S/SR","@rgb(17,202,36)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"299","Aster novae-angliae L.","Symphyotrichum novae-angliae","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,18.0206681285341,46.5400494146547,35.4392824568113,"SR/CSR","@rgb(46,119,90)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"300","Aster patens Aiton","Symphyotrichum patens","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,8.00105244930092,83.9336263172129,8.06532123348619,"S","@rgb(20,214,21)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"301","Aster pilosus Willd.","Symphyotrichum pilosum","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,4,21.7625642196716,36.4594799754667,41.7779558048617,"SR/CSR","@rgb(55,93,107)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"302","Aster puniceus L.","Symphyotrichum puniceum","Asteraceae","Asterales","Asteranae","Dicot","Shipley","perennial","shrub",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,5,35.4275817521517,40.3282923488475,24.2441258990008,"CS/CSR","@rgb(90,103,62)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"303","Aster sagittifolius Wedem. ex Willd.","Symphyotrichum cordifolium","Asteraceae","Asterales","Asteranae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,18.8719811304831,36.6715240199821,44.4564948495347,"SR/CSR","@rgb(48,94,113)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"304","Aster simplex Willd.","Symphyotrichum lanceolatum subsp. lanceolatum","Asteraceae","Asterales","Asteranae","Dicot","Shipley","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,31.2305234470907,42.3203634292243,26.4491131236851,"CSR","@rgb(80,108,67)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"305","Aster tripolium L.","Tripolium pannonicum","Asteraceae","Asterales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,54.3845839136823,0,45.6154160863177,"CR","@rgb(139,0,116)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"306","Aster umbellatus Mill.","Doellingeria umbellata","Asteraceae","Asterales","Asteranae","Dicot","Shipley","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,48.6508649402298,4.36277943095595,46.9863556288143,"CR","@rgb(124,11,120)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"307","Astragalus alpinus L.","Astragalus alpinus","Fabaceae","Fabales","Rosanae","Dicot","Kleyer","perennial","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6,12.2291083582071,13.8989986424136,73.8718929993794,"R/SR","@rgb(31,35,188)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"308","Astragalus canadensis L.","Astragalus canadensis","Fabaceae","Fabales","Rosanae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,5,36.5172636479842,40.1828111717521,23.2999251802638,"CS/CSR","@rgb(93,102,59)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"309","Astragalus cicer L.","Astragalus cicer","Fabaceae","Fabales","Rosanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5,40.6167001728834,18.8892004586276,40.494099368489,"CR/CSR","@rgb(104,48,103)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"310","Astragalus frigidus (L.) A. Gray","Astragalus frigidus","Fabaceae","Fabales","Rosanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,32.7187801722748,13.7328335151852,53.54838631254,"R/CSR","@rgb(83,35,137)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"311","Astragalus humistratus A. Gray","Astragalus humistratus","Fabaceae","Fabales","Rosanae","Dicot","Laughlin","perennial","forb",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,19.3722102610831,48.9230145494987,31.7047751894182,"S/CSR","@rgb(49,125,81)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"312","Astragalus rusbyi Greene","Astragalus rusbyi","Fabaceae","Fabales","Rosanae","Dicot","Laughlin","perennial","forb",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,28.4583284869041,17.1758854654188,54.3657860476771,"R/CSR","@rgb(73,44,139)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"313","Astrantia major L.","Astrantia major","Apiaceae","Apiales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,59.7576884165649,0,40.2423115834351,"CR","@rgb(152,0,103)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"314","Astrantia minor L.","Astrantia minor","Apiaceae","Apiales","Asteranae","Dicot","Cerabolini","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,19.1363438303388,31.5776951086561,49.2859610610051,"R/CSR","@rgb(49,81,126)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"315","Astrocaryum standleyanum L.H. Bailey","Astrocaryum standleyanum","Arecaceae","Arecales","Lilianae","Monocot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.3020497392131,37.153248220504,1.54470204028287,"CS","@rgb(156,95,4)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"316","Astronium graveolens Jacq.","Astronium graveolens","Anacardiaceae","Sapindales","Rosanae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5,53.6392407313164,34.1798383690633,12.1809208996203,"CS/CSR","@rgb(137,87,31)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"317","Athamanta cretensis L.","Athamanta cretensis","Apiaceae","Apiales","Asteranae","Dicot","Cerabolini","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,50.3437718238376,49.6562281761624,0,"CS","@rgb(128,127,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"318","Athyrium distentifolium Tausch ex Opiz","Athyrium distentifolium","Woodsiaceae","Polypodiales",NA,"Fern","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,62.31442214847,3.61404860788088,34.0715292436491,"C/CR","@rgb(159,9,87)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"319","Athyrium filix-foemina (L.) Roth",NA,"Woodsiaceae","Polypodiales",NA,"Fern","Cerabolini/Pierce","perennial","forb",1,1,1,0,0,0,0,3,1,0,1,1,1,1,0,1,0,0,1,1,0,0,8,69.0348564257853,0,30.9651435742147,"C/CR","@rgb(176,0,79)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"320","Atriplex calotheca (Rafn) Fr.","Atriplex prostrata subsp. calotheca","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,50.415862188678,19.2098078479727,30.3743299633494,"C/CSR","@rgb(129,49,77)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"321","Atriplex glabriuscula Edmondston","Atriplex glabriuscula","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,64.537000365487,2.59975522941053,32.8632444051025,"C/CR","@rgb(165,7,84)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"322","Atriplex halimus L.","Atriplex halimus","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Díaz","perennial","shrub",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,26.0364020478402,0,73.9635979521598,"R/CR","@rgb(66,0,189)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"323","Atriplex laciniata L.","Atriplex laciniata","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,45.8066935977064,26.5188763763524,27.6744300259412,"C/CSR","@rgb(117,68,71)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"324","Atriplex littoralis L.","Atriplex littoralis","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Díaz","perennial","shrub",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,56.3078147564823,0,43.6921852435177,"CR","@rgb(144,0,111)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"325","Atriplex micrantha C.A. Mey.","Atriplex sagittata","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,59.4452311200978,8.39013792000224,32.1646309598999,"C/CR","@rgb(152,21,82)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"326","Atriplex nitens Schkuhr","Atriplex sagittata","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,40.2743657782377,29.6514929832245,30.0741412385378,"CSR","@rgb(103,76,77)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"327","Atriplex oblongifolia Waldst. & Kit.","Atriplex oblongifolia","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24.0684407510897,31.519255887606,44.4123033613042,"SR/CSR","@rgb(61,80,113)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"328","Atriplex patula L.","Atriplex patula","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Díaz","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,50.8351798361595,0,49.1648201638405,"CR","@rgb(130,0,125)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"329","Atriplex prostrata Boucher ex DC","Atriplex prostrata","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Díaz","annual","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,59.6529962184349,0,40.3470037815651,"CR","@rgb(152,0,103)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"330","Atriplex rosea L.","Atriplex rosea","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,19.4358534152403,43.5186814006967,37.045465184063,"SR/CSR","@rgb(50,111,94)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"331","Atriplex tatarica L.","Atriplex tatarica","Amaranthaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,6,22.6876191753755,35.7886891309772,41.5236916936473,"SR/CSR","@rgb(58,91,106)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"332","Atropa belladonna L.","Atropa belladonna","Solanaceae","Solanales","Asteranae","Dicot","Kleyer","perennial","shrub",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,63.5795400606296,6.96162644493574,29.4588334944347,"C/CR","@rgb(162,18,75)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"333","Aucuba japonica Thunb.","Aucuba japonica","Garryaceae","Garryales","Asteranae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,65.255344024285,22.4009774386289,12.3436785370861,"C/CS","@rgb(166,57,31)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"334","Aulonemia effusa (Hack.) McClure","Aulonemia effusa","Poaceae","Poales","Lilianae","Monocot","Negreiros","perennial","graminoid",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,37.3234114806922,62.6765885193079,0,"S/CS","@rgb(95,160,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"335","Avena barbata Pott ex Link","Avena barbata","Poaceae","Poales","Lilianae","Monocot","Kleyer","annual","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,5,6.57184869607798,42.3729897808396,51.0551615230824,"SR","@rgb(17,108,130)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"336","Avena fatua L.","Avena fatua","Poaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","annual","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,40.1700246015169,19.5561003029154,40.2738750955678,"CR/CSR","@rgb(102,50,103)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"337","Avena sativa L.","Avena sativa","Poaceae","Poales","Lilianae","Monocot","Kleyer","annual","graminoid",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4,57.2045737399849,11.4431212716338,31.3523049883813,"C/CSR","@rgb(146,29,80)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"338","Avena sterilis L. sterilis","Avena sterilis subsp. sterilis","Poaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","annual","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,41.9929075752026,15.8356644869462,42.1714279378513,"CR/CSR","@rgb(107,40,108)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"339","Avena strigosa Schreb.","Avena strigosa","Poaceae","Poales","Lilianae","Monocot","Kleyer","annual","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,36.6896284891019,18.994909709554,44.3154618013441,"CR/CSR","@rgb(94,48,113)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"340","Avenula pubescens (Huds.) Dumort.","Avenula pubescens","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6,25.6339332828149,48.3066051636388,26.0594615535463,"S/CSR","@rgb(65,123,66)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"341","Bactris acanthocarpa Mart.","Bactris acanthocarpa","Arecaceae","Arecales","Lilianae","Monocot","Pinho","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.4322570503255,37.1968844672323,10.3708584824422,"CS","@rgb(134,95,26)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"342","Bactris setosa Mart.","Bactris setosa","Arecaceae","Arecales","Lilianae","Monocot","Pinho","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,54.3240488771644,34.9639177615942,10.7120333612414,"CS","@rgb(139,89,27)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"343","Bahia dissecta (A. Gray) Britton","Hymenothrix dissecta","Asteraceae","Asterales","Asteranae","Dicot","Laughlin","perennial","forb",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,4,69.4324716433996,0,30.5675283566004,"C/CR","@rgb(177,0,78)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"344","Baptisia alba (L.) Vent.","Baptisia alba","Fabaceae","Fabales","Rosanae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,36.943320911153,37.9580600893044,25.0986189995425,"CSR","@rgb(94,97,64)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"345","Barbacenia blackii L.B.Sm.","Barbacenia blackii","Velloziaceae","Pandanales","Lilianae","Monocot","Negreiros","perennial","forb",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,45.3116655721835,54.6883344278165,0,"CS","@rgb(116,139,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"346","Barbarea bracteosa Guss.","Barbarea bracteosa","Brassicaceae","Brassicales","Rosanae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,19.4271423470234,0,80.5728576529767,"R/CR","@rgb(50,0,205)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"347","Barbarea intermedia Boreau","Barbarea intermedia","Brassicaceae","Brassicales","Rosanae","Dicot","Kleyer","biennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,40.9102732744321,0,59.0897267255679,"CR","@rgb(104,0,151)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"348","Barbarea stricta Andrz.","Barbarea stricta","Brassicaceae","Brassicales","Rosanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,26.1671541606788,0,73.8328458393213,"R/CR","@rgb(67,0,188)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"349","Barbarea vulgaris W.T. Aiton","Barbarea vulgaris","Brassicaceae","Brassicales","Rosanae","Dicot","Weiher","biennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6,17.0709405917684,1.71878760788405,81.2102718003476,"R/CR","@rgb(44,4,207)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"350","Barringtonia macrostachya (Jack) Kurz","Barringtonia macrostachya","Lecythidaceae","Ericales","Asteranae","Dicot","SJ Wright Pasoh","perennial","tree",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.9192952919605,36.9031609127053,1.17754379533425,"C/CS","@rgb(158,94,3)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"351","Bartsia alpina L.","Bartsia alpina","Orobanchaceae","Lamiales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,7.30462184028399,58.5280056160523,34.1673725436637,"SR","@rgb(19,149,87)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"352","Beilschmiedia pendula (Sw.) Hemsl.","Beilschmiedia pendula","Lauraceae","Laurales","Magnolianae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,49.8040452191281,50.1959547808718,0,"CS","@rgb(127,128,0)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
