Accepted Symbol,Synonym Symbol,Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Category,Family,Duration,Growth Habit,Native Status,Characteristics Data,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit Color,Fruit Conspicuous,Growth Form,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Anaerobic Tolerance,CaCO<SUB>3</SUB> Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propogated by Bare Root,Propogated by Bulbs,Propogated by Container,Propogated by Corms,Propogated by Cuttings,Propogated by Seed,Propogated by Sod,Propogated by Sprigs,Propogated by Tubers,Seeds per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product
SACOC,,SACOC,Salvia columbariae var. columbariae,NA (L48),"USA(AZ, CA, NM, NV, UT)",Dicot,Lamiaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACOZ,,SACOZ,Salvia columbariae var. ziegleri,NA (L48),USA(CA),Dicot,Lamiaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADA2,,SADA2,Salvia davidsonii,NA (L48),"USA(AZ, NM)",Dicot,Lamiaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADI9,,SADI9,Salvia disjuncta,,,Dicot,Lamiaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADI7,,SADI7,Salvia divinorum,,,Dicot,Lamiaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADO11,,SADO11,Salvia dominica,,,Dicot,Lamiaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADO4,,SADO4,Salvia dorrii,NA (L48),"USA(AZ, CA, ID, NV, OR, UT, WA)",Dicot,Lamiaceae,Perennial,"Subshrub, Shrub",L48(N),Yes,Spring and Summer,,None,High,No,No,No,Blue,No,Green,Porous,Porous,Medium,White,No,Multiple Stem,Moderate,2,2,No,No,Short,No,None,Yes,Erect,None,Yes,Yes,No,None,None,No,Medium,Medium,High,210,Low,Medium,6.5,8,1700,2700,8,14,14,Low,Intolerant,-23,Late Spring,Contracting Only,Medium,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,310000,Moderate,Medium,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Low,No,No
SADOD2,,SADOD2,Salvia dorrii ssp. dorrii,NA (L48),"USA(AZ, CA, ID, NV, OR, UT, WA)",Dicot,Lamiaceae,Perennial,"Subshrub, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADOC5,,SADOC5,Salvia dorrii ssp. dorrii var. clokeyi,NA (L48),USA(NV),Dicot,Lamiaceae,Perennial,"Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADOD3,,SADOD3,Salvia dorrii ssp. dorrii var. dorrii,NA (L48),"USA(AZ, CA, ID, NV, OR, UT)",Dicot,Lamiaceae,Perennial,"Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
