Accepted Symbol,Synonym Symbol,Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Category,Family,Duration,Growth Habit,Native Status,Characteristics Data,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit Color,Fruit Conspicuous,Growth Form,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Anaerobic Tolerance,CaCO<SUB>3</SUB> Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propogated by Bare Root,Propogated by Bulbs,Propogated by Container,Propogated by Corms,Propogated by Cuttings,Propogated by Seed,Propogated by Sod,Propogated by Sprigs,Propogated by Tubers,Seeds per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product
DACTY2,,DACTY2,Dactyloctenium,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, AZ, CA, CO, FL, GA, HI, IL, LA, MA, MD, ME, MS, NC, NJ, NM, NY, OH, PA, PW, SC, TN, TX, UM, VA)",Monocot,Poaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAE,,DAAE,Dactyloctenium aegyptium,"NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(AL, AR, AZ, CA, CO, FL, GA, HI, IL, LA, MA, MD, ME, MS, NC, NJ, NM, NY, OH, PA, PW, SC, TN, TX, UM, VA)",Monocot,Poaceae,Annual,Graminoid,L48(I)HI(I)PR(I)VI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAU2,,DAAU2,Dactyloctenium australe,,,Monocot,Poaceae,,Graminoid,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGE,,DAGE,Dactyloctenium germinatum,NA (L48),USA(MD),Monocot,Poaceae,Perennial,Graminoid,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGI,,DAGI,Dactyloctenium giganteum,,,Monocot,Poaceae,,Graminoid,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARA2,,DARA2,Dactyloctenium radulans,NA (L48),"USA(AZ, FL, MA, SC)",Monocot,Poaceae,Annual,Graminoid,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACTY3,,DACTY3,Dactylorhiza,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AZ, CO, CT, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Monocot,Orchidaceae,,,"L48(N)CAN(I,N)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAR,,DAAR,Dactylorhiza aristata,NA (AK),USA(AK),Monocot,Orchidaceae,Perennial,Forb/herb,AK(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAARA,,DAARA,Dactylorhiza aristata var. aristata,NA (AK),USA(AK),Monocot,Orchidaceae,Perennial,Forb/herb,AK(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAARK,,DAARK,Dactylorhiza aristata var. kodiakensis,NA (AK),USA(AK),Monocot,Orchidaceae,Perennial,Forb/herb,AK(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIN9,,DAIN9,Dactylorhiza incarnata,,,Monocot,Orchidaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMA4,,DAMA4,Dactylorhiza majalis,NA (CAN),"CAN(NF, ON)",Monocot,Orchidaceae,Perennial,Forb/herb,CAN(I)NA(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAP,,DAMAP,Dactylorhiza majalis ssp. praetermissa,NA (CAN),"CAN(NF, ON)",Monocot,Orchidaceae,Perennial,Forb/herb,CAN(I)NA(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAJ,,DAMAJ,Dactylorhiza majalis ssp. praetermissa var. junialis,NA (CAN),"CAN(NF, ON)",Monocot,Orchidaceae,Perennial,Forb/herb,CAN(I)NA(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAP2,,DAMAP2,Dactylorhiza majalis ssp. praetermissa var. praetermissa,NA (CAN),CAN(NF),Monocot,Orchidaceae,Perennial,Forb/herb,CAN(I)NA(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVI6,,DAVI6,Dactylorhiza viridis,"NA (L48, AK, CAN)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AZ, CO, CT, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Monocot,Orchidaceae,Perennial,Forb/herb,L48(N)AK(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACTY5,,DACTY5,Dactylospora,NA (L48),,Lichen,Dactylosporaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAM6,,DAAM6,Dactylospora amygdalariae,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAT,,DAAT,Dactylospora athallina,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAT2,,DAAT2,Dactylospora attendenda,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADE3,,DADE3,Dactylospora deminuta,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGL5,,DAGL5,Dactylospora glaucomarioides,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIN3,,DAIN3,Dactylospora inquilina,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALO3,,DALO3,Dactylospora lobariella,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPA6,,DAPA6,Dactylospora parasitica,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPA8,,DAPA8,Dactylospora parellaria,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPE3,,DAPE3,Dactylospora pertusariicola,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPU9,,DAPU9,Dactylospora purpurascens,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASA4,,DASA4,Dactylospora saxatilis,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASAS,,DASAS,Dactylospora saxatilis var. saxatilis,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAUR3,,DAUR3,Dactylospora urceolata,NA (L48),,Lichen,Dactylosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAHLI,,DAHLI,Dahlia,NA (L48),"USA(MS, NC)",Dicot,Asteraceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACO4,,DACO4,Dahlia coccinea,,,Dicot,Asteraceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPI3,,DAPI3,Dahlia pinnata,NA (L48),"USA(MS, NC)",Dicot,Asteraceae,Perennial,Forb/herb,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALBE,,DALBE,Dalbergia,"NA (L48, PB)","USA+(PR, VI), USA(FL, PW)",Dicot,Fabaceae,,,"L48(I,N)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABE,,DABE,Dalbergia beccarii,,USA(PW),,Fabaceae,Perennial,"Shrub, Vine",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABR2,,DABR2,Dalbergia brownei,NA (L48),USA(FL),Dicot,Fabaceae,Perennial,"Vine, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACA18,,DACA18,Dalbergia candenatensis,,USA(PW),Dicot,Fabaceae,,,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEC,,DAEC,Dalbergia ecastaphyllum,"NA (L48), PR, VI","USA+(PR, VI), USA(FL)",Dicot,Fabaceae,Perennial,"Tree, Shrub",L48(N)PR(N)VI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAHO2,,DAHO2,Dalbergia hosokawae,,USA(PW),,Fabaceae,Perennial,"Shrub, Vine",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALA12,,DALA12,Dalbergia latifolia,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMO3,,DAMO3,Dalbergia monetaria,PR,USA+(PR),Dicot,Fabaceae,Perennial,"Tree, Shrub, Vine",PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPA7,,DAPA7,Dalbergia palauensis,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASI,,DASI,Dalbergia sissoo,"NA (L48), PR","USA+(PR), USA(FL)",Dicot,Fabaceae,Perennial,Tree,L48(I)PR(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAST3,,DAST3,Dalbergia stipulacea,,USA(PW),,Fabaceae,Perennial,"Shrub, Tree, Vine",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATU,,DATU,Dalbergia tucurensis,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALEA,,DALEA,Dalea,NA (L48),"CAN(AB, MB, ON, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Dicot,Fabaceae,,,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAD,,DAAD,Dalea adenopoda,NA (L48),USA(FL),Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAL2,,DAAL2,Dalea albida,NA (L48),"USA(AL, FL, GA)",Dicot,Fabaceae,Perennial,"Forb/herb, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAL,,DAAL,Dalea albiflora,NA (L48),"USA(AZ, NM)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAU,,DAAU,Dalea aurea,NA (L48),"USA(AZ, CO, KS, NE, NM, OK, SD, TX, WY)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAAU3,,DAAU3,Dalea austrotexana,NA (L48),USA(TX),Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABA2,,DABA2,Dalea bartonii,NA (L48),USA(TX),Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABI,,DABI,Dalea bicolor,NA (L48),"USA(AZ, NM, TX)",Dicot,Fabaceae,Perennial,"Subshrub, Shrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABIA,,DABIA,Dalea bicolor var. argyrea,NA (L48),"USA(AZ, NM, TX)",Dicot,Fabaceae,Perennial,"Forb/herb, Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABR,,DABR,Dalea brachystachya,NA (L48),"USA(AZ, MD, NM, TX)",Dicot,Fabaceae,"Annual, Biennial",Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACA19,,DACA19,Dalea cahaba,NA (L48),USA(AL),Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACA7,,DACA7,Dalea candida,"NA (L48, CAN)","CAN(AB, MB, ON, SK), USA(AL, AR, AZ, CO, GA, IA, IL, IN, KS, KY, LA, MN, MO, MS, MT, ND, NE, NH, NM, OK, SC, SD, TN, TX, UT, WI, WV, WY)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACAC,,DACAC,Dalea candida var. candida,"NA (L48, CAN)","CAN(AB, MB, ON, SK), USA(AL, AR, GA, IA, IL, IN, KS, KY, LA, MN, MO, MS, ND, NE, NH, OK, SC, SD, TN, TX, WI, WV)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N)CAN(N),Yes,Spring and Summer,Moderate,Low,Medium,No,No,No,White,No,Green,Porous,Porous,Coarse,Brown,No,Multiple Stem,Moderate,,2,No,No,Short,No,High,No,Decumbent,Slight,Yes,Yes,Yes,None,Medium,No,Medium,Medium,Medium,90,,Medium,6,8,,,12,20,14,Low,Intermediate,-38,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,278000,Slow,Medium,No,None,No,No,Yes,,No,No,No,High,High,No,No,High,No,No
DACAO,,DACAO,Dalea candida var. oligophylla,"NA (L48, CAN)","CAN(AB, MB, SK), USA(AZ, CO, IA, KS, MN, MT, ND, NE, NM, OK, SD, TX, UT, WI, WY)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACA8,,DACA8,Dalea carnea,NA (L48),"USA(FL, GA)",Dicot,Fabaceae,Perennial,"Forb/herb, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACA9,,DACA9,Dalea carthagenensis,"NA (L48), PR, VI","USA+(PR, VI), USA(FL, MD)",Dicot,Fabaceae,Perennial,Shrub,L48(N)PR(N)VI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACAC3,,DACAC3,Dalea carthagenensis var. carthagenensis,VI,USA+(VI),Dicot,Fabaceae,Perennial,Shrub,VI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACAF,,DACAF,Dalea carthagenensis var. floridana,NA (L48),"USA(FL, MD)",Dicot,Fabaceae,Perennial,Shrub,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACAP,,DACAP,Dalea carthagenensis var. portoricana,PR,USA+(PR),Dicot,Fabaceae,Perennial,Shrub,PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACE2,,DACE2,Dalea ceciliana,NA (L48),USA(TX),Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACL,,DACL,Dalea cliffortiana,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACO2,,DACO2,Dalea compacta,NA (L48),"USA(AR, LA, OK, TX)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACOC,,DACOC,Dalea compacta var. compacta,NA (L48),"USA(AR, OK, TX)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACOP,,DACOP,Dalea compacta var. pubescens,NA (L48),"USA(AR, LA, OK, TX)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACY,,DACY,Dalea cylindriceps,NA (L48),"USA(CO, KS, NE, NM, OK, SD, TX, WY)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEM2,,DAEM2,Dalea emarginata,"NA (L48), HI","USA(HI, LA, TX)",Dicot,Fabaceae,Annual,Forb/herb,L48(N)HI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEN,,DAEN,Dalea enneandra,NA (L48),"USA(CO, IA, IL, KS, MO, MT, ND, NE, NM, OK, SD, TX, WY)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEX2,,DAEX2,Dalea exigua,NA (L48),"USA(AZ, NM)",Dicot,Fabaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEX3,,DAEX3,Dalea exserta,NA (L48),USA(AZ),Dicot,Fabaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAFE2,,DAFE2,Dalea feayi,NA (L48),"USA(FL, GA)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAFI,,DAFI,Dalea filiformis,NA (L48),"USA(AZ, NM)",Dicot,Fabaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAFL,,DAFL,Dalea flavescens,NA (L48),"USA(AZ, UT)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAFO2,,DAFO2,Dalea foliosa,NA (L48),"USA(AL, IL, TN, WI)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
