Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Dracaena angolensis,established,",2,",",26,",",ANG,ZAM,ZIM,",",,ANG-OO,ZAM-OO,ZIM-OO,",",6,8,7,",",61,62,80,81,78,",",COO,MRN,NIC,PUE,FLA,LEE,",",COO-OO,MRN-GU,NIC-OO,PUE-OO,FLA-OO,LEE-VI,",,,,
Dracaena angustifolia,established,",4,3,5,",",41,40,43,42,36,50,",",AND,ASS,BAN,BIS,BOR,CBD,CHC,EHM,CHH,JAW,LAO,LSI,MLY,MOL,MYA,NWG,NCB,NTA,PHI,QLD,SOL,THA,VIE,",",,AND-AN,ASS-AS,BAN-OO,BIS-OO,BOR-OO,CBD-OO,CHC-OO,CHH-OO,EHM-OO,JAW-OO,LAO-OO,LSI-LS,MLY-OO,MOL-OO,MYA-OO,NCB-OO,NTA-OO,NWG-OO,PHI-OO,QLD-QU,SOL-OO,THA-OO,VIE-OO,",",4,",",41,",",THA,",",THA-OO,",,,,
Dracaena braunii,established,",2,",",23,",",CMN,CON,EQG,GAB,",",,CMN-OO,CON-OO,EQG-OO,GAB-OO,",",4,",",41,",",THA,",",THA-OO,",,,,
Dracaena canaliculata,established,",2,",",29,26,25,",",COM,MDG,MOZ,TAN,",",,COM-CO,MDG-OO,MOZ-OO,TAN-OO,",",2,",",29,",",MDG,",",MDG-OO,",,,,
Dracaena concinna,established,",2,",",29,",",MAU,",",,MAU-OO,",",6,",",62,",",MRN,",",MRN-GU,MRN-NM,",,,,
Dracaena draco,established,",2,",",21,",",CNY,",",,CNY-OO,",",2,1,",",21,24,13,20,",",CVI,CNY,ETH,SIC,MOR,MDR,",",CVI-OO,CNY-OO,ETH-OO,SIC-SI,MOR-MO,MDR-OO,",,,,
Dracaena fernaldii,established,",6,",",63,",",HAW,",",,HAW-OO,",",6,",",62,",",MRN,",",MRN-GU,",,,,
Dracaena forskaliana,established,",2,3,",",24,25,35,23,",",CHA,DJI,ERI,ETH,KEN,SAU,SOM,SUD,TAN,YEM,ZAI,",",,CHA-OO,DJI-OO,ERI-OO,ETH-OO,KEN-OO,SAU-OO,SOM-OO,SUD-OO,TAN-OO,YEM-OO,ZAI-OO,",",2,",",29,",",MAU,",",MAU-OO,",,,,
Dracaena fragrans,established,",2,",",26,22,23,24,25,",",ANG,BEN,CMN,CAF,CON,EQG,ETH,GAM,GHA,GUI,GGI,IVO,KEN,LBR,MLW,MOZ,NGA,RWA,SIE,SUD,TAN,TOG,UGA,ZAM,ZAI,ZIM,",",,ANG-OO,BEN-OO,CAF-OO,CMN-OO,CON-OO,EQG-OO,ETH-OO,GAM-OO,GGI-OO,GHA-OO,GUI-OO,IVO-OO,KEN-OO,LBR-OO,MLW-OO,MOZ-OO,NGA-OO,RWA-OO,SIE-OO,SUD-OO,TAN-OO,TOG-OO,UGA-OO,ZAI-OO,ZAM-OO,ZIM-OO,",",5,8,6,7,4,",",50,84,80,81,60,79,62,41,83,",",QLD,BZN,BZE,BZC,BZL,BZS,COS,CUB,FIJ,MXT,MXS,MXG,MRN,NIC,PUE,THA,LEE,ECU,",",QLD-QU,BZN-AM,BZE-BA,BZC-DF,BZL-ES,BZS-PR,BZL-RJ,BZE-RN,BZS-RS,COS-OO,CUB-OO,FIJ-OO,MXT-CA,MXT-CI,MXS-JA,MXS-NA,MXT-QR,MXT-TB,MXG-VC,MRN-NM,NIC-OO,PUE-OO,THA-OO,LEE-BV,ECU-OO,",,,,
Dracaena hyacinthoides,invasive,",2,",",27,25,26,",",CPP,KEN,NAT,MLW,MOZ,TVL,SWZ,TAN,ZAM,ZIM,NAM,,",",,CPP-OO,KEN-OO,NAT-OO,MLW-OO,MOZ-OO,SWZ-OO,TAN-OO,TVL-OO,ZAM-OO,ZIM-OO,",",8,2,4,7,",",81,23,40,79,80,78,",",BAH,WIN,CUB,CAY,EQG,IND,MXT,MXC,MXN,NIC,PUE,FLA,LEE,",",BAH-OO,WIN-BA,CUB-OO,CAY-OO,EQG-OO,IND-AP,IND-GO,IND-GU,IND-KT,IND-KE,IND-MR,IND-OR,IND-WB,WIN-SL,MXT-CA,MXT-CI,MXC-MO,MXT-QR,MXN-SI,MXT-YU,NIC-OO,PUE-OO,FLA-OO,LEE-VI,,LEE-AG,",",8,7,",",81,78,",",LEE,WIN,CAY,CUB,PUE,FLA,",",,CAY-OO,CUB-OO,FLA-OO,LEE-AG,LEE-VI,PUE-OO,WIN-BA,"
Dracaena nilotica,established,",2,",",23,24,25,",",CAF,ETH,SUD,UGA,",",,CAF-OO,ETH-OO,SUD-OO,UGA-OO,",",3,",",38,",",JAP,",,,,,
Dracaena reflexa,established,",2,",",29,26,",",ALD,CGS,COM,MDG,MAU,MOZ,ROD,REU,SEY,",",,ALD-OO,CGS-OO,COM-CO,MAU-OO,MDG-OO,MOZ-OO,REU-OO,ROD-OO,SEY-OO,",",4,",",41,",",THA,",",THA-OO,",,,,
Dracaena roxburghiana,established,",4,",",40,",",BAN,IND,",",,BAN-OO,IND-OO,",",2,4,",",29,42,",",MAU,PHI,",",MAU-OO,PHI-OO,",,,,
Dracaena surculosa,established,",2,",",22,23,",",BEN,CMN,CAF,CON,GAB,GHA,GUI,GGI,IVO,LBR,NGA,SIE,TOG,",",,BEN-OO,CAF-OO,CMN-OO,CON-OO,GAB-OO,GGI-OO,GHA-OO,GUI-OO,IVO-OO,LBR-OO,NGA-OO,SIE-OO,TOG-OO,",",7,",",79,",",MXS,",",MXS-NA,",,,,
Dracaena trifasciata,invasive,",2,",",23,22,25,",",CMN,CAF,CON,EQG,GAB,NGA,TAN,ZAI,",",,CAF-OO,CMN-OO,CON-OO,EQG-OO,GAB-OO,NGA-OO,TAN-OO,ZAI-OO,",",5,8,6,7,2,4,",",50,81,84,61,60,80,62,79,29,42,28,78,63,83,85,",",NSW,NTA,QLD,WAU,BER,BZN,BZC,BZL,BZS,COO,TOK,COS,CUB,FIJ,MRN,WIN,MXT,MXS,LEE,MAU,NIC,PHI,PUE,MRQ,SCI,ASC,FLA,HAW,GAL,ROD,MLY,,NUE,CRL,SAM,ECU,",",NSW-NS,NTA-OO,QLD-QU,WAU-WA,BER-OO,BZN-AM,BZC-DF,BZL-ES,BZS-PR,BZL-RJ,BZS-RS,BZL-SP,COO-OO,TOK-MA,COS-OO,CUB-OO,FIJ-OO,MRN-GU,WIN-SL,MXT-CA,MXT-CI,MXS-CL,MXS-GR,MXS-JA,MXS-NA,MXS-OA,MXT-QR,MXT-TB,MXT-YU,MRN-NM,LEE-MO,MAU-OO,NIC-OO,PHI-OO,PUE-OO,MRQ-OO,SCI-OO,ASC-OO,FLA-OO,HAW-HI,LEE-VI,LEE-BV,GAL-OO,ROD-OO,,CRL-PA,ECU-OO,HAW-OO,LEE-AG,MLY-SI,NSW-OO,NUE-OO,QLD-OO,SAM-OO,",",4,8,7,6,5,",",42,81,78,63,50,61,60,62,85,83,",",MLY,CUB,PUE,LEE,FLA,HAW,NSW,QLD,COO,FIJ,,NUE,CRL,SAM,ECU,GAL,BER,",",,BER-OO,COO-OO,CRL-PA,CUB-OO,ECU-OO,FIJ-OO,FLA-OO,GAL-OO,HAW-OO,LEE-AG,LEE-VI,MLY-SI,NSW-OO,NUE-OO,PUE-OO,QLD-OO,SAM-OO,"
Dracaena zebra,established,",2,",",27,26,",",NAT,MLW,MOZ,",",MLW-OO,MOZ-OO,NAT-OO,",",2,",",29,",",REU,",",REU-OO,",,,,
Dracaena zeylanica,established,",4,",",40,",",IND,SRL,",",,IND-OO,SRL-OO,",",3,4,7,2,",",38,41,79,29,",",JAP,LAO,MXE,MXT,MXG,MAU,",",LAO-OO,MXE-HI,MXE-QU,MXE-SL,MXT-TB,MXG-VC,MAU-OO,",,,,
Dracocephalum moldavica,invasive,",3,4,",",34,31,36,30,32,37,40,",",AFG,AMU,CHN,CTA,CHI,IRN,KAZ,KRA,CHM,,MON,PRM,CHQ,TZK,TKM,TVA,WHM,WSB,",",,AFG-OO,AMU-OO,CHI-OO,CHM-OO,CHN-OO,CHQ-OO,CTA-OO,IRN-OO,KAZ-OO,KRA-OO,MON-OO,PRM-OO,TKM-OO,TVA-OO,TZK-OO,WHM-OO,WSB-OO,",",5,1,7,",",50,14,76,75,74,",",NSW,UKR,ARI,CNT,UTA,VER,WIS,",",NSW-NS,UKR-MO,UKR-UK,ARI-OO,CNT-OO,UTA-OO,VER-OO,WIS-OO,",",7,",,,
Dracocephalum nutans,established,",3,1,4,",",30,31,36,32,37,14,40,",",ALT,AMU,BRY,CTA,CHI,IRK,KAZ,KHA,KGZ,KRA,CHM,,MON,PRM,RUS,TZK,TVA,WHM,WSB,CHX,YAK,",",,ALT-OO,AMU-OO,BRY-OO,CHI-OO,CHM-OO,CHX-OO,CTA-OO,IRK-OO,KAZ-OO,KGZ-OO,KHA-OO,KRA-OO,MON-OO,PRM-OO,RUS-OO,TVA-OO,TZK-OO,WHM-OO,WSB-OO,YAK-OO,",",3,1,",",31,14,",",MAG,RUC,",",MAG-OO,RUC-OO,",,,,
Dracocephalum parviflorum,established,",7,",",70,71,76,73,75,78,74,72,77,",",ASK,ABT,ARI,BRC,COL,CNT,DEL,IDA,ILL,INI,IOW,LAB,MAI,MAN,MRY,MAS,MIC,MIN,MSI,MSO,MNT,NEB,NEV,NWH,NWJ,NWM,NWY,NFL,NCA,NDA,NSC,OHI,ONT,ORE,PEN,QUE,RHO,SAS,SDA,UTA,VER,WAS,WVA,WIS,WYO,",",,ABT-OO,ARI-OO,ASK-OO,BRC-OO,CNT-OO,COL-OO,DEL-OO,IDA-OO,ILL-OO,INI-OO,IOW-OO,LAB-OO,MAI-OO,MAN-OO,MAS-OO,MIC-OO,MIN-OO,MNT-OO,MRY-OO,MSI-OO,MSO-OO,NCA-OO,NDA-OO,NEB-OO,NEV-OO,NFL-NE,NSC-OO,NWH-OO,NWJ-OO,NWM-OO,NWY-OO,OHI-OO,ONT-OO,ORE-OO,PEN-OO,QUE-OO,RHO-OO,SAS-OO,SDA-OO,UTA-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,",",7,",",72,75,78,74,",",NBR,NSC,PEI,QUE,NFL,CNT,DEL,ILL,INI,MAS,MRY,MAI,MIC,MSO,MSI,NCA,NWH,NWJ,NWY,OHI,PEN,RHO,VER,WIS,WVA,",",NBR-OO,NSC-OO,PEI-OO,QUE-OO,NFL-SP,CNT-OO,DEL-OO,ILL-OO,INI-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MSO-OO,MSI-OO,NCA-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,PEN-OO,RHO-OO,VER-OO,WIS-OO,WVA-OO,",,,,
Dracocephalum thymiflorum,invasive,",3,1,",",30,14,13,34,32,33,",",ALT,BLT,BLR,BUL,BRY,RUC,RUE,IRN,IRK,KAZ,KRA,NCS,RUN,RUW,RUS,TCS,TVA,UKR,WSB,",",,ALT-OO,BLR-OO,BLT-OO,BRY-OO,BUL-OO,IRK-OO,IRN-OO,KAZ-OO,KRA-OO,NCS-OO,RUC-OO,RUE-OO,RUN-OO,RUS-OO,RUW-OO,TCS-OO,TVA-OO,UKR-UK,WSB-OO,",",7,2,1,3,",",71,70,72,21,14,10,31,30,76,73,75,74,",",ABT,BRC,MAN,NWT,ONT,QUE,SAS,YUK,CNY,BLT,UKR,NOR,KHA,MAG,ALT,WSB,RUC,SWE,ARI,IDA,MAS,MIC,MNT,NDA,NWY,UTA,WYO,",",ABT-OO,BRC-OO,MAN-OO,NWT-OO,ONT-OO,QUE-OO,SAS-OO,YUK-OO,CNY-OO,BLT-ES,BLT-LI,BLT-LA,UKR-MO,NOR-OO,KHA-OO,MAG-OO,ALT-OO,WSB-OO,RUC-OO,SWE-OO,UKR-UK,ARI-OO,IDA-OO,MAS-OO,MIC-OO,MNT-OO,NDA-OO,NWY-OO,UTA-OO,WYO-OO,",",7,",,,
Dracunculus vulgaris,established,",1,2,3,",",13,20,12,34,",",ALB,ALG,BUL,COR,EAI,GRC,ITA,KRI,SAR,SIC,TUR,YUG,",",,ALB-OO,ALG-OO,BUL-OO,COR-OO,EAI-OO,GRC-OO,ITA-IT,KRI-OO,SAR-OO,SIC-SI,TUR-OO,YUG-OO,",",1,5,8,7,",",13,12,10,51,81,76,74,73,78,",",BUL,COR,GRB,FRA,PUE,POR,CAL,MSO,ORE,TEN,WAS,NZN,NZS,",",BUL-OO,COR-OO,GRB-OO,FRA-CI,PUE-OO,POR-OO,CAL-OO,MSO-OO,ORE-OO,TEN-OO,WAS-OO,NZN-OO,NZS-OO,",,,,
Drepanostachyum falcatum,established,",4,",",41,40,",",CBD,LAO,NEP,VIE,WHM,",",,CBD-OO,LAO-OO,NEP-OO,VIE-OO,WHM-OO,",",8,",",84,",",BZL,",",BZL-MG,BZL-SP,",,,,
Drimiopsis maculata,established,",2,",",27,26,25,",",CPP,NAT,MOZ,TVL,SWZ,TAN,",",,CPP-OO,NAT-OO,MOZ-OO,SWZ-OO,TAN-OO,TVL-OO,",",5,",",50,",",NSW,QLD,",",NSW-NS,QLD-QU,",,,,
Drosanthemum floribundum,invasive,",2,",",27,",",CPP,",",,CPP-OO,",",5,1,2,7,8,",",50,12,10,51,21,76,83,",",NSW,SOA,VIC,WAU,BAL,SPA,FRA,GRB,SAR,CTM,MDR,POR,CAL,AZO,ECU,NZN,NZS,CNY,",",NSW-NS,SOA-OO,VIC-OO,WAU-WA,BAL-OO,SPA-SP,FRA-FR,GRB-OO,SAR-OO,CTM-OO,MDR-OO,POR-OO,CAL-OO,AZO-OO,ECU-OO,NZN-OO,NZS-OO,,CNY-OO,",",2,",",21,",",CNY,",",,CNY-OO,"
Drosanthemum hispidum,established,",2,",",27,",",CPP,OFS,NAM,",",,CPP-OO,OFS-OO,",",1,",",12,",",BAL,SPA,",",BAL-OO,SPA-SP,",,,,
Drosera aliciae,established,",2,",",27,",",CPP,",",,CPP-OO,",",3,7,2,",",38,76,21,",",JAP,CAL,AZO,",",CAL-OO,AZO-OO,",,,,
Drosera binata,established,",5,",",51,50,",",CTM,NSW,NZN,NZS,QLD,SOA,TAS,VIC,WAU,",",,CTM-OO,NSW-NS,NZN-OO,NZS-OO,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,",",3,",",38,",",JAP,",,,,,
Drosera capensis,invasive,",2,",",27,",",CPP,",",,CPP-OO,",",5,3,7,",",50,38,51,76,",",NSW,JAP,CAL,",",NSW-NS,CAL-OO,",",5,",",51,",,
Drosera capillaris,established,",7,8,",",78,80,84,83,81,82,79,85,77,75,",",ALA,ARK,BLZ,BZN,BZS,BZL,BZC,CLM,COS,CUB,DEL,WDC,DOM,FLA,FRG,GEO,GUY,HON,JAM,LOU,MRY,MXG,MXT,MXS,MSI,NIC,NCA,PAN,PAR,PUE,SCA,SUR,TEN,TEX,TRT,URU,VEN,VRG,WVA,",",,ALA-OO,ARK-OO,BLZ-OO,BZC-OO,BZL-OO,BZN-OO,BZS-OO,CLM-OO,COS-OO,CUB-OO,DEL-OO,DOM-OO,FLA-OO,FRG-OO,GEO-OO,GUY-OO,HON-OO,JAM-OO,LOU-OO,MRY-OO,MSI-OO,MXG-OO,MXS-OO,MXT-OO,NCA-OO,NIC-OO,PAN-OO,PAR-OO,PUE-OO,SCA-OO,SUR-OO,TEN-OO,TEX-OO,TRT-OO,URU-OO,VEN-OO,VRG-OO,WDC-OO,WVA-OO,",",3,",",38,",",JAP,",,,,,
Drosera filiformis,established,",7,",",78,75,72,",",FLA,MRY,MAS,NWJ,NWY,NCA,NSC,PEN,WVA,",",,FLA-OO,MAS-OO,MRY-OO,NCA-OO,NSC-OO,NWJ-OO,NWY-OO,PEN-OO,WVA-OO,",",3,7,",",38,75,",",JAP,PEN,WVA,",",PEN-OO,WVA-OO,",,,,
Drosera intermedia,invasive,",7,1,8,3,",",78,11,14,84,75,81,10,12,82,74,13,72,71,70,77,33,34,",",ALA,ARK,AUT,BLT,BLR,BGM,BZE,BZL,RUC,CNT,CUB,CZE,DEL,DEN,WDC,DOM,RUE,FIN,FLA,FRA,GEO,GER,GRB,GUY,ILL,INI,IRE,ITA,KTY,LAB,LOU,MAI,MAN,MRY,MAS,MIC,MIN,MSI,MSO,NET,NBR,NWH,NWJ,NWY,NFL,NCA,RUN,RUW,NOR,NSC,NUN,OHI,ONT,PEN,POL,POR,PEI,QUE,RHO,ROM,SCA,SPA,SUR,SWE,SWI,TEN,TEX,TCS,TRT,TUR,UKR,VEN,VER,VRG,WVA,WIS,YUG,",",,ALA-OO,ARK-OO,AUT-AU,BGM-BE,BLR-OO,BLT-OO,BZE-OO,BZL-OO,CNT-OO,CUB-OO,CZE-OO,DEL-OO,DEN-OO,DOM-OO,FIN-OO,FLA-OO,FRA-FR,GEO-OO,GER-OO,GRB-OO,GUY-OO,ILL-OO,INI-OO,IRE-IR,ITA-IT,KTY-OO,LAB-OO,LOU-OO,MAI-OO,MAN-OO,MAS-OO,MIC-OO,MIN-OO,MRY-OO,MSI-OO,MSO-OO,NBR-OO,NCA-OO,NET-OO,NFL-NE,NOR-OO,NSC-OO,NUN-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,ONT-OO,PEI-OO,PEN-OO,POL-OO,POR-OO,QUE-OO,RHO-OO,ROM-OO,RUC-OO,RUE-OO,RUN-OO,RUW-OO,SCA-OO,SPA-SP,SUR-OO,SWE-OO,SWI-OO,TCS-OO,TEN-OO,TEX-OO,TRT-OO,TUR-OO,UKR-UK,VEN-OO,VER-OO,VRG-OO,WDC-OO,WIS-OO,WVA-OO,YUG-OO,",",3,",",38,",",JAP,JAP,",",,JAP-OO,",",3,",",38,",",JAP,",",,JAP-OO,"
Drosera rotundifolia,established,",7,3,1,4,",",78,70,71,30,31,11,14,13,76,36,73,75,12,10,74,38,72,34,43,33,42,",",ALA,ASK,ABT,ALU,ALT,AMU,AUT,BLT,BLR,BGM,BRC,BUL,BRY,CAL,RUC,CHS,CTA,COL,CNT,COR,CZE,DEL,DEN,WDC,RUE,FIN,FRA,FOR,GEO,GER,GRB,GRC,GNL,HUN,ICE,IDA,ILL,INI,IOW,IRE,IRK,ITA,JAP,KAM,KTY,KHA,KOR,KRA,KRY,KUR,LAB,LBS,MAG,MAI,CHM,MAN,MRY,MAS,MIC,MIN,MSI,MNT,NET,NWG,NWH,NWJ,NWY,NFL,NCA,NCS,NDA,RUN,RUW,NWT,NOR,NSC,NUN,OHI,ONT,ORE,PEN,PHI,POL,POR,PRM,PEI,QUE,RHO,ROM,SAK,SAS,SCA,RUS,SPA,SVA,SWE,SWI,TEN,TCS,TUR,TVA,UKR,VER,VRG,WAS,WSB,WVA,WIS,YAK,YUG,YUK,",",,ABT-OO,ALA-OO,ALT-OO,ALU-OO,AMU-OO,ASK-OO,AUT-AU,BGM-BE,BLR-OO,BLT-OO,BRC-OO,BRY-OO,BUL-OO,CAL-OO,CHM-OO,CHS-OO,CNT-OO,COL-OO,COR-OO,CTA-OO,CZE-OO,DEL-OO,DEN-OO,FIN-OO,FOR-OO,FRA-FR,GEO-OO,GER-OO,GNL-OO,GRB-OO,GRC-OO,HUN-OO,ICE-OO,IDA-OO,ILL-OO,INI-OO,IOW-OO,IRE-IR,IRK-OO,ITA-IT,JAP-OO,KAM-OO,KHA-OO,KOR-OO,KRA-OO,KRY-OO,KTY-OO,KUR-OO,LAB-OO,LBS-OO,MAG-OO,MAI-OO,MAN-OO,MAS-OO,MIC-OO,MIN-OO,MNT-OO,MRY-OO,MSI-OO,NCA-OO,NCS-OO,NDA-OO,NET-OO,NFL-NE,NOR-OO,NSC-OO,NUN-OO,NWG-OO,NWH-OO,NWJ-OO,NWT-OO,NWY-OO,OHI-OO,ONT-OO,ORE-OO,PEI-OO,PEN-OO,PHI-OO,POL-OO,POR-OO,PRM-OO,QUE-OO,RHO-OO,ROM-OO,RUC-OO,RUE-OO,RUN-OO,RUS-OO,RUW-OO,SAK-OO,SAS-OO,SCA-OO,SPA-SP,SVA-OO,SWE-OO,SWI-OO,TCS-OO,TEN-OO,TUR-OO,TVA-OO,UKR-UK,VER-OO,VRG-OO,WAS-OO,WDC-OO,WIS-OO,WSB-OO,WVA-OO,YAK-OO,YUG-OO,YUK-OO,",",7,",",70,",",GNL,",",GNL-OO,",,,,
Drosera tracyi,established,",7,",",78,",",ALA,FLA,GEO,MSI,",",,ALA-OO,FLA-OO,GEO-OO,MSI-OO,",",7,",",76,",",CAL,",",CAL-OO,",,,,
Drymaria cordata,invasive,",8,2,7,",",85,80,83,84,23,27,24,82,22,25,26,79,",",AGE,AGW,BLZ,BOL,BZN,BZE,BZS,BZL,BZC,BUR,CMN,CPP,CAF,CLN,CLM,CON,COS,ECU,ELS,ETH,FRG,GAB,GAL,GUA,GUI,GGI,GUY,HON,IVO,KEN,NAT,LBR,MLW,MXC,MXG,MXE,MXN,MXT,MXS,MOZ,NIC,NGA,TVL,PAN,PAR,PER,RWA,SIE,SUD,SUR,TAN,UGA,URU,VEN,ZAM,ZAI,ZIM,,",",,AGE-OO,AGW-OO,BLZ-OO,BOL-OO,BUR-OO,BZC-OO,BZE-OO,BZL-OO,BZN-OO,BZS-OO,CAF-OO,CLM-OO,CLN-OO,CMN-OO,CON-OO,COS-OO,CPP-OO,ECU-OO,ELS-OO,ETH-OO,FRG-OO,GAB-OO,GAL-OO,GGI-OO,GUA-OO,GUI-OO,GUY-OO,HON-OO,IVO-OO,KEN-OO,NAT-OO,LBR-OO,MLW-OO,MOZ-OO,MXC-OO,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,NGA-OO,NIC-OO,PAN-OO,PAR-OO,PER-OO,RWA-OO,SIE-OO,SUD-OO,SUR-OO,TAN-OO,TVL-OO,UGA-OO,URU-OO,VEN-OO,ZAI-OO,ZAM-OO,ZIM-OO,",",2,8,5,3,4,6,7,",",26,81,50,84,36,22,42,38,29,40,41,25,63,78,43,60,61,",",ANG,LEE,NSW,QLD,BZN,BZE,BZC,BZL,BZS,WIN,CHH,GHA,JAP,MAU,MLY,NEP,PHI,PUE,SEY,THA,TAN,HAW,LOU,NWG,TAI,COM,CHS,CHC,NNS,VIE,FIJ,,NWG,",",ANG-OO,LEE-AB,NSW-NS,QLD-QU,BZN-AC,BZN-AM,BZE-BA,BZE-CE,BZC-DF,BZL-ES,BZE-MA,BZL-MG,BZN-PA,BZE-PB,BZE-PE,BZS-PR,BZL-RJ,BZS-RS,BZS-SC,BZE-SE,BZL-SP,WIN-BA,CHH-OO,WIN-DO,GHA-OO,WIN-GR,LEE-SK,WIN-SL,WIN-MA,MAU-OO,MLY-PM,NEP-OO,PHI-OO,PUE-OO,MLY-SI,SEY-OO,THA-OO,TAN-OO,HAW-HI,LOU-OO,LEE-VI,WIN-SV,NWG-PN,TAI-OO,,CHC-GZ,CHS-FJ,CHS-GD,CHS-GX,COM-MA,FIJ-OO,NNS-OO,NSW-OO,NWG-PN,QLD-OO,VIE-OO,",",2,3,4,8,5,6,",",29,36,38,42,41,81,50,60,61,43,",",COM,MAU,SEY,CHS,CHC,CHH,NNS,MLY,THA,VIE,PUE,LEE,NSW,QLD,FIJ,,NWG,",",,CHC-GZ,CHH-OO,CHS-FJ,CHS-GD,CHS-GX,COM-MA,FIJ-OO,LEE-VI,MAU-OO,MLY-SI,NNS-OO,NSW-OO,NWG-PN,PUE-OO,QLD-OO,SEY-OO,THA-OO,VIE-OO,"
Drymaria gracilis,established,",8,7,",",80,79,",",ELS,HON,MXC,MXG,MXE,MXN,MXT,MXS,",",,ELS-OO,HON-OO,MXC-OO,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,",",8,",",83,",",CLM,",",CLM-OO,",,,,
Drymaria villosa,established,",8,7,",",85,83,80,79,82,",",AGW,BOL,CLM,COS,ECU,ELS,GUA,HON,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PER,VEN,",",,AGW-OO,BOL-OO,CLM-OO,COS-OO,ECU-OO,ELS-OO,GUA-OO,HON-OO,MXC-OO,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,NIC-OO,PAN-OO,PER-OO,VEN-OO,",",2,4,",",23,42,22,40,",",CMN,NGA,NEP,",",CMN-OO,NGA-OO,NEP-OO,",,,,
Drynaria quercifolia,established,",4,3,5,",",41,40,42,36,43,50,",",AND,ASS,BAN,BOR,CBD,EHM,CHH,IND,JAW,LAO,LSI,MLY,MOL,MYA,NEP,NWG,NCB,NTA,PHI,QLD,SRL,SUL,SUM,THA,VIE,WAU,",",,AND-AN,ASS-AS,BAN-OO,BOR-OO,CBD-OO,CHH-OO,EHM-OO,IND-OO,JAW-OO,LAO-OO,LSI-LS,MLY-OO,MOL-OO,MYA-OO,NCB-OO,NEP-OO,NTA-OO,NWG-OO,PHI-OO,QLD-QU,SRL-OO,SUL-OO,SUM-OO,THA-OO,VIE-OO,WAU-WA,",",6,",",62,",",MRN,",",MRN-GU,",,,,
Dryopteris cycadina,established,",3,",",36,38,",",CHC,CHS,JAP,KOR,TAI,",",,CHC-OO,CHS-OO,JAP-OO,KOR-OO,TAI-OO,",",5,",",50,",",VIC,",",VIC-OO,",,,,
Dryopteris erythrosora,invasive,",3,",",36,38,",",CHC,CHS,JAP,KOR,NNS,",",,CHC-OO,CHS-OO,JAP-OO,KOR-OO,NNS-OO,",",7,",",78,",",ALA,ARK,",",ALA-OO,ARK-OO,",",7,",,,
