"AcceptedName","Habit","NativeStatus","n_nurseries","StatesSold","NativeRange","StatesRegulated","P_conventional","P_native","Rank"
"Bouteloua dactyloides","Grass","EFNative",2,"PA, VA","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, AZ, NV, UT, NM, TX, AR, GA, LA, VA",NA,0.0078125,0,1269
"Carex aurea","Grass","EFNative",2,"PA, MD","AK, CO, ID, MT, OR, WA, WY, IL, MN, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NY, OH, RI, VT, AZ, CA, NV, UT, NM, TX",NA,0.0078125,0,1270
"Carex emoryi","Grass","EFNative",2,"PA, OH","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MI, NJ, NY, OH, PA, WV, AZ, NM, TX, AR, DE, KY, MD, VA",NA,0.0078125,0,1271
"Chilopsis linearis","Shrub","EFNonNative",2,"CT, PA","AZ, CA, NV, UT, NM, TX",NA,0.0078125,0,1272
"Cyperus haspan","Grass","EFNative",2,"MA","TX, AL, FL, GA, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0,1273
"Echinacea simulata","Forb/herb","EFNative",2,"PA, MD","IL, MO, AR, GA, KY, TN",NA,0.0078125,0,1274
"Eragrostis trichodes","Grass","EFNative",2,"RI, MA","CO, WY, IL, IA, KS, MN, MO, NE, OK, SD, WI, IN, MI, NY, OH, NM, TX, AL, AR, LA, MS, TN, VA",NA,0.0078125,0,1275
"Gomphrena haageana","Forb/herb","EFNonNative",2,"ME, VT","NM, TX",NA,0.0078125,0,1276
"Hesperocyparis glabra","Tree","EFNonNative",2,"DE, NY","AZ",NA,0.0078125,0,1277
"Heuchera richardsonii","Forb/herb","EFNative",2,"PA, MA","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, IN, MI",NA,0.0078125,0,1278
"Milium effusum","Grass","EFNative",2,"RI, PA","IL, IA, MN, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, VT, WV, MD, NC, TN, VA",NA,0.0078125,0,1279
"Monarda citriodora","Forb/herb","EFNative",2,"MA, NH","KS, MO, OK, AZ, UT, NM, TX, AL, AR, TN",NA,0.0078125,0,1280
"Muhlenbergia lindheimeri","Grass","EFNonNative",2,"PA, NJ","TX",NA,0.0078125,0,1281
"Phlox amplifolia","Forb/herb","EFNative",2,"OH, ME","MO, IN, AL, AR, GA, KY, MD, MS, NC, TN, VA",NA,0.0078125,0,1282
"Phytolacca americana","Forb/herb","EFNative",2,"ME, PA","OR, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0,1283
"Pieris floribunda","Shrub","EFNative",2,"MA, CT","WV, GA, NC, TN, VA",NA,0.0078125,0,1284
"Polemonium carneum","Forb/herb","EFNonNative",2,"PA","OR, WA, CA",NA,0.0078125,0,1285
"Prosartes lanuginosa","Forb/herb","EFNative",2,"WV, VT","NY, OH, PA, WV, AL, AR, GA, KY, MD, NC, SC, TN, VA",NA,0.0078125,0,1286
"Pycnanthemum curvipes","Forb/herb","EFNative",2,"PA, MA","AL, NC, TN",NA,0.0078125,0,1287
"Rubus ursinus","Shrub","EFNonNative",2,"NJ, MA","ID, MT, OR, WA, CA",NA,0.0078125,0,1288
"Rudbeckia occidentalis","Forb/herb","EFNonNative",2,"VA, VT","ID, MT, OR, WA, WY, CA, NV, UT",NA,0.0078125,0,1289
"Scolochloa festucacea","Grass","EFNative",2,"KY, CT","AK, ID, MT, OR, WY, IA, KS, MN, ND, NE, SD",NA,0.0078125,0,1290
"Sidalcea malviflora","Forb/herb","EFNonNative",2,"ME, VT","OR, CA",NA,0.0078125,0,1291
"Silphium mohrii","Forb/herb","EFNative",2,"MD, RI","AL, GA, TN",NA,0.0078125,0,1292
"Tsuga mertensiana","Tree","EFNonNative",2,"VT, MA","AK, ID, MT, OR, WA, CA, NV",NA,0.0078125,0,1293
"Taxodium distichum","Tree","EFNative",96,"OH, MD, KY, NJ, MA, NY, PA, VA, CT, DE, RI, VT, ME, NH","IL, MO, OK, IN, NY, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.28515625,0.27710843373494,1294
"Itea virginica","Shrub","EFNative",121,"OH, MD, KY, NY, NJ, MA, VT, PA, CT, ME, RI, VA, DE, NH, WV","IL, MO, OK, IN, NJ, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.359375,0.349397590361446,1295
